0.3	-1	0.0024
0.4	-0.95	0.0028
0.45	-0.95	0.006
0.55	-0.9	0.0143
0.6	-0.9	0.0022
0.6	-0.85	5.1891
0.65	-0.85	0.0208
0.65	-0.8	0.1047
0.65	-0.05	0.0024
0.65	0	0.0024
0.7	-0.85	0.0066
0.7	-0.8	0.1755
0.7	-0.75	0.0085
0.7	-0.1	0.0021
0.7	-0.05	0.004
0.7	0	0.004
0.7	0.05	0.0022
0.75	-0.85	0.0037
0.75	-0.8	0.0111
0.75	-0.75	0.5041
0.75	-0.1	0.0025
0.75	-0.05	0.0049
0.75	0	0.0051
0.75	0.05	0.0029
0.8	-0.85	0.0022
0.8	-0.8	0.0037
0.8	-0.75	0.0065
0.8	-0.7	0.0468
0.8	-0.1	0.0025
0.8	-0.05	0.0048
0.8	0	0.0051
0.8	0.05	0.003
0.85	-0.65	0.0503
0.85	-0.6	0.0028
0.85	-0.05	0.0038
0.85	0	0.0041
0.85	0.05	0.0026
0.9	-0.6	0.014
0.9	-0.05	0.0024
0.9	0	0.0026
0.95	-0.5	0.0147
1	-0.45	0.0128
1.05	-0.35	0.0039
1.1	-0.25	0.0139
1.15	-0.15	0.002
1.15	-0.1	0.2814
1.15	-0.05	0.0081
1.15	0	0.0032
1.2	-0.05	0.004
1.2	0	0.0338
1.2	0.05	0.077
1.2	0.1	0.0035
1.25	0.2	0.0086
1.25	0.25	0.0154
1.3	0.5	0.0047
1.3	0.55	0.0051
1.35	0.8	0.0049
1.35	0.85	0.0134
1.35	0.9	0.0026
1.5	-0.85	0.0072
1.5	-0.8	0.0094
1.5	-0.75	0.0189
1.6	-0.75	0.0022
1.6	-0.05	0.0069
1.6	0	0.0467
1.6	0.05	0.0239
1.6	0.1	0.0085
1.65	-0.95	0.0035
1.65	-0.9	0.02
1.65	-0.85	0.0103
1.65	-0.8	0.0056
1.65	-0.75	0.002
1.65	-0.4	0.0043
1.65	-0.05	0.0038
1.65	0	0.0051
1.65	0.05	0.0039
1.65	0.4	0.0041
1.65	0.45	0.0034
1.65	0.55	0.0044
1.65	2.5	0.002
1.7	-0.95	0.003
1.7	-0.9	0.0157
1.7	-0.85	0.0317
1.7	-0.8	0.0347
1.7	-0.75	0.0207
1.7	-0.7	0.0064
1.7	-0.6	0.0095
1.7	-0.55	0.0056
1.7	-0.1	0.033
1.7	-0.05	0.4615
1.7	0	0.5952
1.7	0.05	0.1214
1.7	0.1	0.0221
1.7	0.75	0.0093
1.7	0.8	0.0342
1.7	0.85	0.0731
1.7	0.9	0.0962
1.7	0.95	0.0371
1.7	1.05	0.0024
1.75	-0.95	0.0059
1.75	-0.9	0.0332
1.75	-0.85	0.0682
1.75	-0.8	0.0751
1.75	-0.75	0.0431
1.75	-0.7	0.0078
1.75	-0.6	0.0082
1.75	-0.55	0.0054
1.75	-0.45	0.003
1.75	-0.4	0.0069
1.75	-0.35	0.0022
1.75	-0.3	0.012
1.75	-0.25	0.0294
1.75	-0.2	0.0052
1.75	-0.1	0.0128
1.75	-0.05	0.0288
1.75	0	0.0373
1.75	0.05	0.0301
1.75	0.1	0.0142
1.75	0.2	0.0057
1.75	0.25	0.0203
1.75	0.3	0.0257
1.75	0.35	0.0048
1.75	0.4	0.0138
1.75	0.45	0.0049
1.75	0.75	0.0044
1.75	0.8	0.0075
1.75	0.85	0.0071
1.75	0.9	0.0038
1.8	-1.05	0.0027
1.8	-0.95	0.0096
1.8	-0.9	0.0487
1.8	-0.85	0.0987
1.8	-0.8	0.1068
1.8	-0.75	0.0609
1.8	-0.7	0.0108
1.8	-0.6	0.013
1.8	-0.55	0.0091
1.8	-0.45	0.007
1.8	-0.4	0.0112
1.8	-0.35	0.0022
1.8	-0.3	0.0039
1.8	-0.25	0.0161
1.8	-0.2	0.008
1.8	-0.15	0.0023
1.8	-0.1	0.0478
1.8	-0.05	0.3047
1.8	0	0.647
1.8	0.05	0.6223
1.8	0.1	0.1702
1.8	0.15	0.0033
1.8	0.2	0.0027
1.8	0.25	0.0041
1.8	0.55	0.005
1.8	0.6	0.0146
1.8	0.65	0.0063
1.8	0.7	0.0554
1.8	0.75	0.1963
1.8	0.8	0.1702
1.8	0.85	0.0631
1.8	0.9	0.0175
1.8	0.95	0.0021
1.85	-1.1	0.0022
1.85	-1.05	0.003
1.85	-0.95	0.0117
1.85	-0.9	0.0604
1.85	-0.85	0.1186
1.85	-0.8	0.1268
1.85	-0.75	0.07
1.85	-0.7	0.0121
1.85	-0.65	0.0025
1.85	-0.6	0.015
1.85	-0.55	0.0096
1.85	-0.45	0.0078
1.85	-0.4	0.0126
1.85	-0.35	0.0023
1.85	-0.3	0.0056
1.85	-0.25	0.0225
1.85	-0.2	0.0123
1.85	-0.15	0.0072
1.85	-0.1	0.1194
1.85	-0.05	0.3323
1.85	0	0.4346
1.85	0.05	0.2862
1.85	0.1	0.0778
1.85	0.15	0.0025
1.85	0.2	0.0048
1.85	0.25	0.013
1.85	0.3	0.0122
1.85	0.35	0.0044
1.85	0.4	0.0215
1.85	0.45	0.0111
1.85	0.6	0.0025
1.85	0.7	0.0021
1.85	0.75	0.0128
1.85	0.8	0.0285
1.85	0.85	0.038
1.85	0.9	0.0293
1.85	0.95	0.01
1.85	1.05	0.0131
1.85	1.1	0.0155
1.9	-1.1	0.002
1.9	-1.05	0.0027
1.9	-0.95	0.012
1.9	-0.9	0.0569
1.9	-0.85	0.1118
1.9	-0.8	0.1175
1.9	-0.75	0.0645
1.9	-0.7	0.0103
1.9	-0.65	0.0026
1.9	-0.6	0.014
1.9	-0.55	0.0088
1.9	-0.45	0.0075
1.9	-0.4	0.011
1.9	-0.3	0.0051
1.9	-0.25	0.0192
1.9	-0.2	0.0097
1.9	-0.15	0.0061
1.9	-0.1	0.1039
1.9	-0.05	0.2887
1.9	0	0.3919
1.9	0.05	0.2956
1.9	0.1	0.1054
1.9	0.15	0.0059
1.9	0.2	0.0155
1.9	0.25	0.0275
1.9	0.3	0.0072
1.9	0.35	0.0022
1.9	0.4	0.0098
1.9	0.45	0.0044
1.9	0.55	0.0027
1.9	0.6	0.0075
1.9	0.65	0.0055
1.9	0.7	0.0407
1.9	0.75	0.1192
1.9	0.8	0.1384
1.9	0.85	0.0448
1.9	0.9	0.0128
1.9	2.4	0.0036
1.9	2.45	0.0034
1.95	-0.95	0.0083
1.95	-0.9	0.0396
1.95	-0.85	0.0755
1.95	-0.8	0.0792
1.95	-0.75	0.0422
1.95	-0.7	0.0067
1.95	-0.65	0.0022
1.95	-0.6	0.0102
1.95	-0.55	0.0059
1.95	-0.45	0.0057
1.95	-0.4	0.0079
1.95	-0.3	0.004
1.95	-0.25	0.0141
1.95	-0.2	0.0062
1.95	-0.15	0.0063
1.95	-0.1	0.0758
1.95	-0.05	0.1985
1.95	0	0.2562
1.95	0.05	0.1823
1.95	0.1	0.061
1.95	0.15	0.0023
1.95	0.2	0.0097
1.95	0.25	0.0161
1.95	0.3	0.0038
1.95	0.4	0.0092
1.95	0.45	0.0061
1.95	0.55	0.008
1.95	0.6	0.0115
1.95	0.7	0.012
1.95	0.75	0.0335
1.95	0.8	0.0275
1.95	0.85	0.0211
1.95	0.9	0.0119
1.95	0.95	0.0051
1.95	1.05	0.0086
1.95	1.1	0.0032
2	-0.95	0.0043
2	-0.9	0.0189
2	-0.85	0.0356
2	-0.8	0.0359
2	-0.75	0.0185
2	-0.7	0.0025
2	-0.6	0.0047
2	-0.55	0.0026
2	-0.45	0.0028
2	-0.4	0.0037
2	-0.3	0.0022
2	-0.25	0.0069
2	-0.2	0.0031
2	-0.15	0.0031
2	-0.1	0.04
2	-0.05	0.101
2	0	0.1269
2	0.05	0.0879
2	0.1	0.028
2	0.2	0.0051
2	0.25	0.0074
2	0.4	0.0041
2	0.45	0.0024
2	0.55	0.0033
2	0.6	0.0044
2	0.7	0.0063
2	0.75	0.0294
2	0.8	0.0499
2	0.85	0.0453
2	0.9	0.0234
2	0.95	0.0046
2.05	-0.9	0.0047
2.05	-0.85	0.0083
2.05	-0.8	0.0082
2.05	-0.75	0.0038
2.05	-0.1	0.0104
2.05	-0.05	0.0255
2.05	0	0.0303
2.05	0.05	0.0196
2.05	0.1	0.0057
2.05	0.75	0.007
2.05	0.8	0.0106
2.05	0.85	0.009
2.05	0.9	0.0041
2.15	-0.9	0.0029
2.15	-0.85	0.0056
2.15	-0.8	0.006
2.15	-0.75	0.0032
2.15	-0.1	0.0057
2.15	-0.05	0.0153
2.15	0	0.0201
2.15	0.05	0.0145
2.15	0.1	0.005
2.15	0.75	0.0041
2.15	0.8	0.0069
2.15	0.85	0.0062
2.15	0.9	0.0031
2.2	-0.9	0.0071
2.2	-0.85	0.013
2.2	-0.8	0.013
2.2	-0.75	0.0067
2.2	-0.25	0.0025
2.2	-0.1	0.0152
2.2	-0.05	0.0371
2.2	0	0.0463
2.2	0.05	0.0318
2.2	0.1	0.0099
2.2	0.25	0.0025
2.2	0.7	0.0024
2.2	0.75	0.0105
2.2	0.8	0.0168
2.2	0.85	0.0143
2.2	0.9	0.0066
2.25	-0.95	0.002
2.25	-0.9	0.0078
2.25	-0.85	0.0134
2.25	-0.8	0.013
2.25	-0.75	0.0063
2.25	-0.25	0.0025
2.25	-0.15	0.0021
2.25	-0.1	0.0173
2.25	-0.05	0.0403
2.25	0	0.048
2.25	0.05	0.0316
2.25	0.1	0.0093
2.25	0.25	0.0025
2.25	0.7	0.0029
