0.3	-1	0.0041
0.6	-0.85	0.0137
1.05	-0.35	0.0081
1.1	-0.25	0.0165
1.15	-0.15	0.004
1.15	-0.1	0.2875
1.15	-0.05	0.0064
1.15	0	0.0024
1.2	-0.05	0.0109
1.2	0	0.077
1.2	0.05	0.1964
1.2	0.1	0.0083
1.25	-0.05	0.0039
1.25	0	0.0071
1.25	0.05	0.0076
1.25	0.1	0.0041
1.25	0.2	0.0145
1.25	0.25	0.0507
1.25	0.3	0.0023
1.3	-0.05	0.0028
1.3	0	0.0042
1.3	0.05	0.0035
1.3	0.5	0.032
1.3	0.55	0.028
1.3	0.6	0.0064
1.35	0	0.0028
1.35	0.85	0.0404
1.35	0.9	0.0239
1.35	0.95	0.0038
1.35	1	0.0029
1.35	1.05	0.0035
1.35	1.2	0.003
1.35	1.25	0.0045
1.35	1.3	0.0033
1.4	-1.4	0.0023
1.4	-1.35	0.0036
1.4	-1.3	0.0035
1.4	1.2	0.0513
1.4	1.25	0.2405
1.4	1.3	0.7775
1.4	1.35	0.0828
1.4	1.4	0.0037
1.45	-1.35	0.0045
1.45	-1.3	0.0172
1.45	-1.25	0.0224
1.45	-1.2	0.0209
1.45	-1.15	0.0023
1.6	-0.05	0.0056
1.6	0	0.0351
1.6	0.05	0.0137
1.6	0.1	0.0042
1.7	-0.05	0.02
1.7	0	0.0185
1.7	0.05	0.0035
1.75	0.3	0.0023
1.75	1.35	0.0022
1.8	0	0.0049
1.8	0.05	0.0054
1.95	-0.05	0.0054
1.95	0	0.007
1.95	0.05	0.005
2	-1.3	0.0026
2	-0.1	0.0058
2	-0.05	0.0164
2	0	0.0216
2	0.05	0.0156
2	0.1	0.0052
2	1.35	0.0031
2.05	-1.35	0.0024
2.05	-1.3	0.0037
2.05	-1.25	0.0032
2.05	-0.1	0.0085
2.05	-0.05	0.0237
2.05	0	0.0314
2.05	0.05	0.0229
2.05	0.1	0.0079
2.05	1.25	0.0054
2.05	1.3	0.0061
2.05	1.35	0.0044
2.1	-1.3	0.0029
2.1	-1.25	0.0025
2.1	-0.1	0.0067
2.1	-0.05	0.0181
2.1	0	0.0246
2.1	0.05	0.0181
2.1	0.1	0.0063
2.1	1.25	0.0031
2.1	1.3	0.0034
2.15	-0.1	0.0027
2.15	-0.05	0.0075
2.15	0	0.0101
2.15	0.05	0.0074
2.15	0.1	0.0025
2.2	-0.05	0.0046
2.2	0	0.0061
2.2	0.05	0.0042
2.25	-0.1	0.0044
2.25	-0.05	0.0127
2.25	0	0.0166
2.25	0.05	0.0117
2.25	0.1	0.0037
2.25	1.3	0.0024
2.3	-1.3	0.003
2.3	-1.25	0.0025
2.3	-0.1	0.0068
2.3	-0.05	0.0189
2.3	0	0.0253
2.3	0.05	0.018
2.3	0.1	0.006
2.3	1.25	0.0033
2.3	1.3	0.0038
2.3	1.35	0.0023
2.35	-0.1	0.0048
2.35	-0.05	0.0134
2.35	0	0.0177
2.35	0.05	0.0128
2.35	0.1	0.0043
2.35	1.25	0.0023
2.35	1.3	0.0026
2.4	-0.05	0.0034
2.4	0	0.0047
2.4	0.05	0.0035
2.45	-0.05	0.0038
2.45	0	0.0055
2.45	0.05	0.004
2.5	-1.3	0.0023
2.5	-0.1	0.0048
2.5	-0.05	0.0138
2.5	0	0.0192
2.5	0.05	0.0141
2.5	0.1	0.0049
2.5	1.25	0.0024
2.5	1.3	0.0028
2.55	-1.3	0.0026
2.55	-1.25	0.0023
2.55	-0.1	0.0054
2.55	-0.05	0.016
2.55	0	0.0219
2.55	0.05	0.0164
2.55	0.1	0.0056
2.55	1.25	0.0028
2.55	1.3	0.0032
2.6	-0.05	0.0051
2.6	0	0.0069
2.6	0.05	0.0053
2.65	-0.05	0.0022
2.65	0	0.0028
2.7	-1.35	0.0026
2.7	-1.3	0.0041
2.7	-1.25	0.0034
2.7	-0.1	0.0091
2.7	-0.05	0.0253
2.7	0	0.0339
2.7	0.05	0.0244
2.7	0.1	0.0083
2.7	1.25	0.0044
2.7	1.3	0.005
2.7	1.35	0.0031
2.75	-1.35	0.0049
2.75	-1.3	0.0078
2.75	-1.25	0.0066
2.75	-1.2	0.0026
2.75	-0.25	0.0031
2.75	-0.1	0.0165
2.75	-0.05	0.0478
2.75	0	0.064
2.75	0.05	0.0468
2.75	0.1	0.0161
2.75	0.25	0.0025
2.75	1.2	0.0033
