-4.3035992832 -3.0250217117 2.0631000000
-4.3035992832 -2.8615070245 2.1861000000
-4.3035992832 -2.6979923374 2.2980000000
-4.3035992832 -2.5344776503 2.3965500000
-4.3035992832 -2.3709629632 2.4797200000
-4.3035992832 -2.2074482761 2.5457800000
-4.3035992832 -2.0439335890 2.5933600000
-4.3035992832 -1.8804189018 2.6215100000
-4.3035992832 -1.7169042147 2.6296900000
-4.3035992832 -1.5533895276 2.6178100000
-4.3035992832 -1.3898748405 2.5862300000
-4.3035992832 -1.2263601534 2.5357200000
-4.3035992832 -1.0628454663 2.4674600000
-4.3035992832 -0.8993307791 2.3829800000
-4.3035992832 -0.7358160920 2.2841000000
-4.3035992832 -0.5723014049 2.1728700000
-4.3035992832 -0.4087867178 2.0515300000
-4.1034318747 -3.6790804601 2.1301500000
-4.1034318747 -3.5155657730 2.3386100000
-4.1034318747 -3.3520510859 2.5468300000
-4.1034318747 -3.1885363988 2.7511000000
-4.1034318747 -3.0250217117 2.9475400000
-4.1034318747 -2.8615070245 3.1322100000
-4.1034318747 -2.6979923374 3.3012200000
-4.1034318747 -2.5344776503 3.4508800000
-4.1034318747 -2.3709629632 3.5778300000
-4.1034318747 -2.2074482761 3.6791000000
-4.1034318747 -2.0439335890 3.7523200000
-4.1034318747 -1.8804189018 3.7956900000
-4.1034318747 -1.7169042147 3.8081300000
-4.1034318747 -1.5533895276 3.7892900000
-4.1034318747 -1.3898748405 3.7395600000
-4.1034318747 -1.2263601534 3.6600600000
-4.1034318747 -1.0628454663 3.5526100000
-4.1034318747 -0.8993307791 3.4196500000
-4.1034318747 -0.7358160920 3.2641500000
-4.1034318747 -0.5723014049 3.0895300000
-4.1034318747 -0.4087867178 2.8995100000
-4.1034318747 -0.2452720307 2.6980200000
-4.1034318747 -0.0817573436 2.4890300000
-4.1034318747 0.0817573436 2.2764500000
-4.1034318747 0.2452720307 2.0640300000
-3.9032644662 -4.0061098344 2.1625100000
-3.9032644662 -3.8425951472 2.4178800000
-3.9032644662 -3.6790804601 2.6828300000
-3.9032644662 -3.5155657730 2.9534600000
-3.9032644662 -3.3520510859 3.2253700000
-3.9032644662 -3.1885363988 3.4936400000
-3.9032644662 -3.0250217117 3.7530800000
-3.9032644662 -2.8615070245 3.9983100000
-3.9032644662 -2.6979923374 4.2239500000
-3.9032644662 -2.5344776503 4.4248300000
-3.9032644662 -2.3709629632 4.5961500000
-3.9032644662 -2.2074482761 4.7336400000
-3.9032644662 -2.0439335890 4.8337600000
