1.5 5.2 4.2688E-5
1.5 5.3 8.2956E-5
1.5 5.4 1.9195E-4
1.5 5.5 5.6965E-4
1.5 5.6 3.4955E-4
1.5 5.7 1.2106E-4
1.5 5.8 4.4005E-5
1.6 4.9 1.4055E-4
1.6 5 3.3393E-4
1.6 5.1 2.7902E-4
1.6 5.2 1.5147E-4
1.6 5.3 1.0883E-4
1.6 5.4 1.011E-4
1.6 5.5 1.1098E-4
1.6 5.6 1.524E-4
1.6 5.7 2.435E-4
1.6 5.8 4.5524E-4
1.6 5.9 1.8055E-4
1.6 6 6.0627E-5
1.7 4 7.2055E-5
1.7 4.1 1.685E-4
1.7 4.2 4.8639E-4
1.7 4.3 8.5291E-4
1.7 4.4 0.0011
1.7 4.5 1.5556E-4
1.7 4.9 3.8738E-5
1.7 5 1.0934E-4
1.7 5.1 3.4057E-4
1.7 5.2 0.0011
1.7 5.3 0.001
1.7 5.4 7.9344E-4
1.7 5.5 3.0016E-4
1.7 5.6 1.7934E-4
1.7 5.7 1.4428E-4
1.7 5.8 1.5095E-4
1.7 5.9 2.3193E-4
1.7 6 2.7548E-4
1.7 6.1 9.809E-5
1.8 3.2 3.6396E-5
1.8 3.3 3.3339E-5
1.8 3.7 1.458E-4
1.8 3.8 7.8999E-4
1.8 3.9 5.5481E-4
1.8 4 2.8316E-4
1.8 4.1 1.4306E-4
1.8 4.2 9.5994E-5
1.8 4.3 6.8803E-5
1.8 4.4 4.8704E-5
1.8 4.7 5.2099E-5
1.8 4.8 2.8167E-4
1.8 4.9 2.2765E-4
1.8 5 1.892E-4
1.8 5.1 2.1334E-4
1.8 5.2 2.9545E-4
1.8 5.3 5.4933E-4
1.8 5.4 0.0014
1.8 5.5 0.0016
1.8 5.6 0.0012
1.8 5.7 3.6465E-4
1.8 5.8 1.8969E-4
1.8 5.9 1.6951E-4
1.8 6 2.7848E-4
1.8 6.1 1.5309E-4
1.8 6.2 6.4284E-5
1.9 2.8 3.8193E-5
1.9 2.9 9.0143E-5
1.9 3 2.1944E-4
1.9 3.1 7.7877E-4
1.9 3.2 8.9543E-4
1.9 3.3 7.5176E-4
1.9 3.4 8.0526E-5
1.9 3.8 5.0525E-5
1.9 3.9 1.0015E-4
1.9 4 2.186E-4
1.9 4.1 6.0173E-4
1.9 4.2 0.0014
1.9 4.3 3.8789E-4
1.9 4.4 8.5669E-5
1.9 4.8 1.3601E-4
1.9 4.9 6.1319E-4
1.9 5 0.0023
1.9 5.1 0.0015
1.9 5.2 6.9592E-4
1.9 5.3 5.4584E-4
1.9 5.4 6.6201E-4
1.9 5.5 0.0013
1.9 5.6 0.0017
1.9 5.7 9.6368E-4
1.9 5.8 4.7121E-4
1.9 5.9 3.2792E-4
1.9 6 2.236E-4
1.9 6.1 1.5829E-4
1.9 6.2 9.1854E-5
1.9 6.3 3.6459E-5
2 2.6 1.7127E-4
2 2.7 9.7492E-4
2 2.8 4.2698E-4
2 2.9 1.7468E-4
2 3 9.3343E-5
2 3.1 5.7821E-5
2 3.2 3.5434E-5
2 3.6 1.1563E-4
2 3.7 4.1792E-4
2 3.8 7.0638E-4
2 3.9 2.8464E-4
2 4 1.665E-4
2 4.1 1.2152E-4
2 4.2 1.0084E-4
2 4.3 9.2423E-5
