 -6.96 0.000743 
 -6.91 0.000064 
 -6.86 0.000331 
 -6.81 0.001488 
 -6.76 0.002531 
 -6.71 0.002949 
 -6.66 0.003521 
 -6.61 0.005380 
 -6.56 0.008220 
 -6.51 0.009830 
 -6.46 0.008073 
 -6.41 0.003612 
 -6.36 0.000211 
 -6.31 0.001587 
 -6.26 0.007329 
 -6.21 0.012202 
 -6.16 0.010767 
 -6.11 0.003786 
 -6.06 0.000311 
 -6.01 0.012375 
 -5.96 0.045192 
 -5.91 0.090791 
 -5.86 0.131117 
 -5.81 0.148343 
 -5.76 0.135342 
 -5.71 0.099591 
 -5.66 0.057591 
 -5.61 0.024326 
 -5.56 0.006054 
 -5.51 0.000358 
 -5.46 0.000863 
 -5.41 0.002237 
 -5.36 0.002378 
 -5.31 0.001555 
 -5.26 0.000636 
 -5.21 0.000127 
 -5.16 0.000140 
 -5.11 0.000599 
 -5.06 0.001265 
 -5.01 0.001743 
 -4.96 0.001695 
 -4.91 0.001142 
 -4.86 0.000459 
 -4.81 0.000057 
 -4.76 0.000057 
 -4.71 0.000277 
 -4.66 0.000451 
 -4.61 0.000437 
 -4.56 0.000258 
 -4.51 0.000059 
 -4.46 0.000033 
 -4.41 0.000291 
 -4.36 0.000686 
 -4.31 0.000842 
 -4.26 0.000522 
 -4.21 0.000066 
 -4.16 0.000292 
 -4.11 0.001664 
 -4.06 0.003509 
 -4.01 0.004328 
 -3.96 0.003211 
 -3.91 0.001080 
 -3.86 0.000089 
 -3.81 0.001408 
 -3.76 0.003773 
 -3.71 0.004579 
 -3.66 0.002788 
 -3.61 0.000486 
 -3.56 0.000783 
 -3.51 0.004288 
 -3.46 0.008326 
 -3.41 0.010587 
 -3.36 0.013416 
 -3.31 0.022391 
 -3.26 0.038831 
 -3.21 0.053729 
 -3.16 0.052783 
 -3.11 0.031867 
 -3.06 0.006485 
 -3.01 0.002795 
 -2.96 0.032868 
 -2.91 0.074221 
 -2.86 0.083902 
 -2.81 0.043668 
 -2.76 0.000639 
 -2.71 0.065173 
 -2.66 0.338176 
 -2.61 0.824437 
 -2.56 1.399382 
 -2.51 1.825382 
 -2.46 1.882545 
 -2.41 1.565914 
 -2.36 1.034028 
 -2.31 0.490357 
 -2.26 0.124355 
 -2.21 0.001650 
 -2.16 0.038708 
 -2.11 0.106585 
 -2.06 0.117419 
 -2.01 0.074523 
 -1.96 0.014004 
 -1.91 0.001255 
 -1.86 0.041178 
 -1.81 0.097216 
 -1.76 0.030285 
 -1.71 0.118558 
 -1.66 0.024996 
 -1.61 0.083429 
 -1.56 0.003792 
 -1.51 0.003631 
 -1.46 0.001128 
 -1.41 0.000415 
 -1.36 0.000969 
 -1.31 0.000015 
 -1.26 0.000010 
