 -8.48 0.004189 
 -8.46 0.003206 
 -8.43 0.002596 
 -8.41 0.002456 
 -8.38 0.002782 
 -8.36 0.003482 
 -8.34 0.004397 
 -8.31 0.005343 
 -8.29 0.006144 
 -8.26 0.006673 
 -8.24 0.006864 
 -8.22 0.006720 
 -8.19 0.006301 
 -8.17 0.005702 
 -8.15 0.005023 
 -8.12 0.004347 
 -8.10 0.003728 
 -8.07 0.003185 
 -8.05 0.002711 
 -8.03 0.002286 
 -8.00 0.001889 
 -7.98 0.001512 
 -7.96 0.001160 
 -7.93 0.000853 
 -7.91 0.000616 
 -7.88 0.000467 
 -7.86 0.000411 
 -7.84 0.000433 
 -7.81 0.000502 
 -7.79 0.000579 
 -7.76 0.000626 
 -7.74 0.000618 
 -7.72 0.000551 
 -7.69 0.000440 
 -7.67 0.000320 
 -7.65 0.000230 
 -7.62 0.000202 
 -7.60 0.000252 
 -7.57 0.000371 
 -7.55 0.000530 
 -7.53 0.000685 
 -7.50 0.000795 
 -7.48 0.000827 
 -7.45 0.000775 
 -7.43 0.000661 
 -7.41 0.000527 
 -7.38 0.000428 
 -7.36 0.000414 
 -7.34 0.000514 
 -7.31 0.000727 
 -7.29 0.001019 
 -7.26 0.001329 
 -7.24 0.001588 
 -7.22 0.001731 
 -7.19 0.001722 
 -7.17 0.001561 
 -7.15 0.001288 
 -7.12 0.000973 
 -7.10 0.000695 
 -7.07 0.000525 
 -7.05 0.000503 
 -7.03 0.000629 
 -7.00 0.000863 
 -6.98 0.001135 
 -6.95 0.001363 
 -6.93 0.001480 
 -6.91 0.001451 
 -6.88 0.001288 
 -6.86 0.001044 
 -6.84 0.000803 
 -6.81 0.000651 
 -6.79 0.000660 
 -6.76 0.000862 
 -6.74 0.001241 
 -6.72 0.001740 
 -6.69 0.002273 
 -6.67 0.002759 
 -6.65 0.003139 
 -6.62 0.003405 
 -6.60 0.003597 
 -6.57 0.003794 
 -6.55 0.004086 
 -6.53 0.004546 
 -6.50 0.005193 
 -6.48 0.005978 
 -6.45 0.006783 
 -6.43 0.007445 
 -6.41 0.007797 
